,contenido,reply,retweet,like
65,"Tenemos que poner en orden la economía y crear oportunidades para los ecuatorianos y los extranjeros que viven en el país. Hay que ser gratos con el mundo y coherentes, debemos solidarizarnos con las familias que han venido a Ecuador en busca de una vida mejor.

: 
@NTN24Zoom
.",199,246,"1,3 mil"
66,"El Ecuador del encuentro continuará en los 4 años de gobierno. Extenderé mi mano a todos los líderes políticos y a la sociedad ecuatoriana para lograr una verdadera unidad. La diversidad es necesaria para llevar a cabo un excelente proceso de gobernabilidad. 

: 
@NTN24Zoom
.",197,253,"1,5 mil"
67,"Es una muy buena noticia para Ecuador que haya bajado el riesgo país. Ahora tenemos que trabajar para que el riesgo país baje aún más.

Vamos a atraer inversión y crear empleo en todos los sectores de la economía ecuatoriana. 

#JuntosLoLogramos",126,363,4 mil
68,Estados Unidos y Ecuador volverán a ser grandes aliados. Trabajaremos en conjunto para lograrlo bajo una visión de progreso y bienestar.,107,433,"2,5 mil"
69,"Gracias Presidente 
@alferdez
 por sus buenos deseos. Que el desarrollo, el progreso y la libertad sigan uniendo a la región.",104,207,1 mil
70,"En el #DíaDelMaestro quiero agradecer a todos los docentes ecuatorianos por su incansable labor. Es una profesión que cambia la vida de niños y jóvenes cada día y merece respeto, reconocimiento y apoyo integral. Vamos a fortalecer la educación y a garantizar sus derechos.",1100.0,1000,"17,3 mil"
71,"Muchas gracias Presidente 
@sanchezcastejon
 por sus palabras. Ecuador y España continuarán siendo grandes aliados para superar los desafíos y las crisis que enfrentamos. Un saludo.",137,223,960
72,"Felicito a Cuenca y a todos los cuencanos por 464 años de Fundación. Les mando un fuerte abrazo y ratifico mi compromiso con el desarrollo local, la reactivación económica, la protección de derechos y un futuro con oportunidades para la ciudad.

¡QUE VIVA CUENCA!",541,880,"4,6 mil"
73,"Nos escuchamos y reafirmamos que podemos ser un solo Ecuador.

Trabajaremos juntos desde ya por el verdadero cambio. Hoy amanecemos en paz y con la certeza de que vienen mejores días para todos. Seré el Presidente de los 17 millones de ecuatorianos. ",384,265,"1,4 mil"
74,"Muchas gracias Presidente 
@luisabinader
 por su mensaje y compromiso con fortalecer la relación entre República Dominicana y Ecuador. Este es el momento de impulsar el desarrollo de la región y de nuestros países. ¡Juntos lo lograremos!",62,158,765
75,"Gracias 
@Almagro_OEA2015
. La cooperación internacional es fundamental para el avance de la democracia en América Latina. Será un honor poder servir a los ecuatorianos.",182,457,"2,9 mil"
76,"Muchas gracias 
@jguaido
 por sus buenos deseos. Hoy es un gran día para la libertad en toda la región. Los venezolanos tienen todo nuestro respaldo para recuperar la democracia y nuestro compromiso de aliviar la crisis humanitaria que enfrentan en el mundo.",213,417,"1,9 mil"
77,"Le agradezco sus palabras Presidente 
@NitoCortizo
. Panamá y Ecuador fortalecerán sus relaciones trabajando de la mano por el progreso de nuestra región. Un saludo a todas las familias panameñas. ",222,390,"2,1 mil"
78,"Gracias Presidente 
@LuisLacallePou
. Este triunfo es por todos los latinoamericanos. Uruguay y Ecuador trabajarán juntos para fortalecer el comercio, reactivar la economía de la región y asegurar el bienestar de cada habitante en América Latina.",137,159,892
79,"Este 11 de Abril, el ECUADOR ES PRIMERO. 

Necesitamos de ti para construir ese país que tanto soñamos y queremos para las futuras generaciones, uno con empleo, salud, bienestar y seguridad. 

#JuntosLoEstamosLogrando",28,54,501
80,"Me emociona tanto apoyo de los ecuatorianos. Con nuestro voto tenemos el instrumento más poderoso para que se cumplan nuestros sueños. 

Este domingo 11 de abril, encontrémonos por el Ecuador.

#QueTuVozCuenteEstaVez
#JuntosLoEstamosLogrando",235,288,"1,8 mil"
81,"Es para mí un motivo de agradecimiento que cientos de ecuatorianos nos hayan acompañado al pie del Río Guayas, para con entusiasmo llevar nuestro mensaje del Ecuador del encuentro. 

La diversidad es una de las mayores riquezas de la vida. Hoy, frente a Guayaquil, lo demostramos.",843,1000,"6,3 mil"
82,"Estimadas 
@EcMujeres
, quiero compartirles el Compromiso que firmé por los derechos de las niñas y mujeres. Es un compromiso que cumpliré. Además destinaré todos los recursos necesarios para implementar la Ley para prevenir y erradicar la violencia contra las mujeres.",473,307,"1,5 mil"
83,"CIERRE DE CAMPAÑA EN GUAYAQUIL. 

Los invito a este encuentro por el Ecuador desde mis redes sociales a la 1:00 PM. ¡EL CAMBIO VIENE! 

FB: https://facebook.com/LassoGuillermo/videos/472190753922669/…
YT: https://youtu.be/k_kyNzLz8a8

#JuntosLoEstamosLogrando 
#EncontrémonosParaLograrlo",755,737,"4,4 mil"
84,"En 3 días, nos unimos por el cambio. 

¡Juntos lo lograremos!

#JuntosLoEstamosLogrando 
#EncontrémonosParaLograrlo",212,407,4 mil
85,"Este es el Ecuador del encuentro. 

El cambio está cerca y el país nos necesita más unidos que nunca para lograrlo. 

#JuntosLoEstamosLogrando
#EncontrémonosParaLograrlo",471,960,"8,3 mil"
86,"Quiero un país donde todos los ecuatorianos tengan una vida digna, con un trabajo estable y seguridad social. Nuestro gran reto es construir un mejor país para ti y tu familia. 

GRACIAS CAÑAR, gracias Azogues. Los mejores días están cerca. 

#JuntosLoEstamosLogrando",115,250,"1,2 mil"
87,"Esta elección se trata del campo y la ruralidad, de los agricultores y ganadores que trabajan sin descanso, de la falta de educación, de los médicos rurales y cada comunidad que ha sido abandonada. 

Este 11 de Abril, nos encontramos por ustedes. 

#JuntosLoEstamosLogrando",38,92,551
88,"Faltan 5 días para que hagamos historia juntos. 

#JuntosLoEstamosLogrando",63,157,1 mil
89,"¡Hemos recorrido todas las provincias de la Amazonía! Ayer en Zamora Chinchipe sentí más que nunca las ganas de trabajar unidos por el cambio.

GRACIAS, mil veces gracias por su apoyo. Estamos aquí por ustedes y para lograr juntos un mejor Ecuador. 

#JuntosLoEstamosLogrando ",15,26,118
90,"Juntos podemos más. 

Todos los logros de mi vida significan muy poco comparados con el honor de servirlos. 

Este 11 de Abril, les pido de todo corazón que nos den esa oportunidad, votando por nosotros.

#JuntosLoEstamosLogrando 
#EncontrémonosParaLograrlo",949,1400,"11,5 mil"
91,"Cuento con ustedes para lograr juntos este gran cambio. 

#JuntosLoEstamosLogrando ",109,217,"2,4 mil"
92,"Juntos estamos logrando un verdadero cambio. EL PAÍS ES PRIMERO. 

Gracias por ser parte del Ecuador del encuentro. 

#EncontrémonosParaLograrlo",131,211,971
93,"MANABÍ CON EDUCACIÓN SUPERIOR Y DE CALIDAD. 

En la provincia los jóvenes sueñan con libertad para estudiar la carrera que ellos quieran. En el Ecuador del encuentro, ampliaremos la oferta universitaria, con carreras en línea y técnicas. ¡GRACIAS! 

#EncontrémonosParaLograrlo",82,125,844
94,"En Esmeraldas y en el Ecuador, #TodosConLasso. 

Los mejores días están cerca para los esmeraldeños con bienestar, trabajo y seguridad. Mi compromiso con la provincia es firme, garantizaremos sus derechos y libertades. ¡Gracias por la apertura! 

#EncontrémonosParaLograrlo",77,198,"1,3 mil"
95,"El PLAN EQUIDAD RURAL ofrece a los agricultores:

 Asociatividad y mejores precios 
 Capacitación y asistencia técnica 
 Riego parcelario y maquinaria gratuita
 Salud, educación y vivienda  

¡Encontrémonos por el desarrollo de la agricultura!

#EncontrémonosParaLograrlo",316,363,"2,4 mil"
96,"Hoy, desde Esmeraldas, me comprometo a que en mi Gobierno crearemos la Secretaría Técnica del Decenio Para Los Afrodescendientes para garantizar la resolución de la ONU que promueve el ejercicio de los derechos y las libertades del pueblo afrodescendiente.",188,218,"1,3 mil"
97,"Daremos capital y capacitaciones a emprendedores a través de la iniciativa Fondo Semilla. Miles de ecuatorianos tendrán sus propios negocios y serán generadores de empleo. 

¡Juntos lo estamos logrando! 

#EncontrémonosParaLograrlo",326,552,"3,3 mil"
98,"Muchas gracias a los recicladores, al colectivo Frente Al Ambiente, organizaciones de la sociedad civil y a los vecinos de Solanda por entregarnos sus propuestas para lograr bienestar. 

De eso se trata el Ecuador del encuentro, de trabajar unidos. 

#EncontrémonosParaLograrlo",133,680,"4,7 mil"
99,"Es urgente un Ecuador con respeto a la diversidad, un país donde todos vivan seguros. 

Lucharemos por la igualdad de oportunidades para la población trans y los ecuatorianos LGBTIQ+ en el trabajo, en centros educativos, en el campo y las ciudades. 

#DíaDeLaVisibilidadTrans",1000.0,1100,"8,9 mil"
100,"Hace un año con 
@SalvarVidasEC
 empezamos a llevar insumos médicos a hospitales y centros de salud en los 221 cantones del Ecuador. 

Muchas gracias a los ecuatorianos que se han unido a esta causa. Nuestra labor para salvar vidas continúa.  

#EncontrémonosParaLograrlo",33,51,774
101,"El Plan #EcuadorEsDeporte tiene 3 ejes: deporte como forma de vida, ecosistema y generador de referentes. ¡Juntos lo vamos a lograr! 

Gracias a todos los participantes y a 
@SebasPalaciosSP
 por impulsar este encuentro por el deporte. 

#EncontrémonosPorElDeporte",530,786,"6,8 mil"
